open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
29.92,30.19,29.23,29.46,29392800.0,300735.SZ,20250821,光弘科技,NA,CNY
29.62,30.93,29.27,30.65,42391600.0,300735.SZ,20250822,光弘科技,NA,CNY
30.95,31.15,30.25,30.7,37209700.0,300735.SZ,20250825,光弘科技,NA,CNY
30.59,32.51,30.18,31.7,45779100.0,300735.SZ,20250826,光弘科技,NA,CNY
32.22,32.25,30.66,30.71,38074100.0,300735.SZ,20250827,光弘科技,NA,CNY
30.9,31.51,30.07,31.21,30721800.0,300735.SZ,20250828,光弘科技,NA,CNY
31.1,31.54,30.56,30.58,24325000.0,300735.SZ,20250829,光弘科技,NA,CNY
30.73,32.23,29.78,31.29,38603800.0,300735.SZ,20250901,光弘科技,NA,CNY
31.14,31.14,29.78,29.99,26796300.0,300735.SZ,20250902,光弘科技,NA,CNY
29.99,30.56,29.47,29.5,17347500.0,300735.SZ,20250903,光弘科技,NA,CNY
29.46,30.06,27.7,28.61,23926900.0,300735.SZ,20250904,光弘科技,NA,CNY
28.9,29.95,28.28,29.83,20954300.0,300735.SZ,20250905,光弘科技,NA,CNY
29.83,30.41,29.58,29.76,16667200.0,300735.SZ,20250908,光弘科技,NA,CNY
29.66,29.66,28.14,28.32,21659200.0,300735.SZ,20250909,光弘科技,NA,CNY
28.36,29.16,28.35,28.46,12606600.0,300735.SZ,20250910,光弘科技,NA,CNY
28.46,29.62,27.81,29.55,19901900.0,300735.SZ,20250911,光弘科技,NA,CNY
29.55,30.01,29.26,29.53,16613700.0,300735.SZ,20250912,光弘科技,NA,CNY
29.7,29.76,29.11,29.18,13105900.0,300735.SZ,20250915,光弘科技,NA,CNY
29.35,30.46,29.15,30.36,25665500.0,300735.SZ,20250916,光弘科技,NA,CNY
30.51,31.27,30.26,30.97,26781000.0,300735.SZ,20250917,光弘科技,NA,CNY
30.86,31.52,30.07,30.42,31942700.0,300735.SZ,20250918,光弘科技,NA,CNY
30.56,31.22,29.77,30.51,22277800.0,300735.SZ,20250919,光弘科技,NA,CNY
30.52,31.13,30.11,30.57,19883900.0,300735.SZ,20250922,光弘科技,NA,CNY
30.27,30.44,28.56,29.33,24846900.0,300735.SZ,20250923,光弘科技,NA,CNY
29.18,29.77,28.87,29.73,19082700.0,300735.SZ,20250924,光弘科技,NA,CNY
29.61,30.0,29.47,29.52,14537600.0,300735.SZ,20250925,光弘科技,NA,CNY
29.38,29.47,27.97,28.04,19223200.0,300735.SZ,20250926,光弘科技,NA,CNY
28.09,28.42,27.46,28.33,15497300.0,300735.SZ,20250929,光弘科技,NA,CNY
28.38,29.29,28.37,28.9,15026400.0,300735.SZ,20250930,光弘科技,NA,CNY
29.17,30.37,29.06,29.62,23480800.0,300735.SZ,20251009,光弘科技,NA,CNY
29.35,29.62,28.28,28.99,23786100.0,300735.SZ,20251010,光弘科技,NA,CNY
27.69,28.85,27.5,28.72,15765300.0,300735.SZ,20251013,光弘科技,NA,CNY
28.9,29.04,27.46,27.48,16901300.0,300735.SZ,20251014,光弘科技,NA,CNY
27.79,27.87,26.99,27.55,10831600.0,300735.SZ,20251015,光弘科技,NA,CNY
27.35,27.69,27.12,27.22,8841500.0,300735.SZ,20251016,光弘科技,NA,CNY
27.17,27.26,26.07,26.09,11273300.0,300735.SZ,20251017,光弘科技,NA,CNY
26.65,28.12,26.38,27.59,18012200.0,300735.SZ,20251020,光弘科技,NA,CNY
27.67,28.44,27.4,28.16,15787400.0,300735.SZ,20251021,光弘科技,NA,CNY
