open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
48.74,49.84,47.75,48.01,12741900.0,002929.SZ,20250821,润建股份,NA,CNY
48.4,50.05,48.24,49.92,20601800.0,002929.SZ,20250822,润建股份,NA,CNY
50.5,52.7,49.54,51.46,23239400.0,002929.SZ,20250825,润建股份,NA,CNY
50.82,52.93,50.44,51.23,14467100.0,002929.SZ,20250826,润建股份,NA,CNY
51.34,56.36,50.97,55.04,38881200.0,002929.SZ,20250827,润建股份,NA,CNY
55.16,55.54,52.08,53.94,29551800.0,002929.SZ,20250828,润建股份,NA,CNY
54.96,56.1,51.11,54.37,26942500.0,002929.SZ,20250829,润建股份,NA,CNY
55.92,58.48,54.06,56.57,44217700.0,002929.SZ,20250901,润建股份,NA,CNY
55.39,55.39,50.92,50.92,31040500.0,002929.SZ,20250902,润建股份,NA,CNY
49.96,50.65,48.04,48.07,15595500.0,002929.SZ,20250903,润建股份,NA,CNY
48.63,48.64,45.62,46.58,14164700.0,002929.SZ,20250904,润建股份,NA,CNY
46.55,47.35,45.76,46.97,13734400.0,002929.SZ,20250905,润建股份,NA,CNY
46.3,46.91,45.2,45.95,15790900.0,002929.SZ,20250908,润建股份,NA,CNY
46.17,46.28,45.14,45.26,8850100.0,002929.SZ,20250909,润建股份,NA,CNY
45.45,46.81,45.45,46.14,11093500.0,002929.SZ,20250910,润建股份,NA,CNY
46.49,47.64,46.11,47.59,13194500.0,002929.SZ,20250911,润建股份,NA,CNY
50.76,52.34,50.54,52.34,22663100.0,002929.SZ,20250912,润建股份,NA,CNY
49.86,51.54,49.03,51.07,30163200.0,002929.SZ,20250915,润建股份,NA,CNY
50.45,52.22,50.04,51.96,20050400.0,002929.SZ,20250916,润建股份,NA,CNY
51.92,53.04,51.22,52.27,16797800.0,002929.SZ,20250917,润建股份,NA,CNY
52.89,52.93,49.81,50.58,21343000.0,002929.SZ,20250918,润建股份,NA,CNY
50.69,50.94,49.42,49.6,11630600.0,002929.SZ,20250919,润建股份,NA,CNY
50.04,51.96,49.64,51.31,13402800.0,002929.SZ,20250922,润建股份,NA,CNY
51.72,51.8,48.49,50.02,14026200.0,002929.SZ,20250923,润建股份,NA,CNY
49.77,51.78,48.76,51.25,14259500.0,002929.SZ,20250924,润建股份,NA,CNY
51.51,53.34,51.47,52.18,25530600.0,002929.SZ,20250925,润建股份,NA,CNY
51.44,51.74,49.92,49.92,13605100.0,002929.SZ,20250926,润建股份,NA,CNY
49.91,50.04,48.62,49.68,9015700.0,002929.SZ,20250929,润建股份,NA,CNY
50.06,50.61,48.98,49.25,9128700.0,002929.SZ,20250930,润建股份,NA,CNY
49.83,49.92,48.95,49.14,9100900.0,002929.SZ,20251009,润建股份,NA,CNY
48.94,48.94,46.96,47.1,11324900.0,002929.SZ,20251010,润建股份,NA,CNY
44.94,46.41,44.63,46.38,6658100.0,002929.SZ,20251013,润建股份,NA,CNY
46.54,46.84,44.83,44.93,8192300.0,002929.SZ,20251014,润建股份,NA,CNY
45.05,45.72,44.48,45.66,5470200.0,002929.SZ,20251015,润建股份,NA,CNY
